,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dil_rand_effs[21],-0.232,0.136,-0.483,0.027,0.002,0.001,8053.0,11510.0,1.0
dil_rand_effs[22],0.118,0.126,-0.114,0.36,0.002,0.001,5380.0,8506.0,1.0
dil_rand_effs[23],0.472,0.164,0.161,0.779,0.001,0.001,14714.0,17927.0,1.0
dil_rand_effs[24],0.034,0.153,-0.253,0.318,0.001,0.001,12741.0,16224.0,1.0
dil_rand_effs[25],-0.123,0.104,-0.318,0.072,0.001,0.001,8654.0,13058.0,1.0
dil_rand_effs[26],0.419,0.097,0.232,0.597,0.001,0.001,9660.0,13340.0,1.0
dil_rand_effs[27],-0.431,0.143,-0.699,-0.164,0.002,0.001,8827.0,12155.0,1.0
dil_rand_effs[28],-0.163,0.161,-0.476,0.133,0.001,0.001,14334.0,18213.0,1.0
dil_rand_effs[29],-0.037,0.097,-0.216,0.15,0.001,0.001,7655.0,12230.0,1.0
dil_rand_effs[30],-0.321,0.166,-0.624,-0.014,0.001,0.001,19853.0,19190.0,1.0
dil_rand_effs[31],0.05,0.102,-0.137,0.246,0.001,0.001,8131.0,12821.0,1.0
pulldown_effs[0],2.186,1.458,-0.537,4.905,0.018,0.013,6276.0,10346.0,1.01
pulldown_effs[1],-4.392,1.461,-7.101,-1.645,0.018,0.013,6331.0,10541.0,1.0
pulldown_effs[2],-0.015,1.494,-2.81,2.752,0.018,0.013,6535.0,10752.0,1.0
pulldown_effs[3],1.536,1.459,-1.273,4.182,0.018,0.013,6242.0,10223.0,1.01
pulldown_effs[4],-4.676,1.86,-8.257,-1.306,0.462,0.352,18.0,51.0,1.25
pulldown_effs[5],2.214,1.466,-0.483,4.991,0.019,0.013,5963.0,10308.0,1.01
pulldown_effs[6],-3.04,1.456,-5.764,-0.34,0.018,0.013,6288.0,10467.0,1.01
